fixture,group,weight,factor,kendall_tau,top1_hit_rate,top3_hit_rate,top5_hit_rate,top10_hit_rate,baseline_size,perturbed_size,baseline_saturated_dp_count,perturbed_saturated_dp_count
will-06,process,broken,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,broken,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,broken,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,broken,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,broken,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,broken,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,broken,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,skipTests,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,skipTests,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,skipTests,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,skipTests,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,skipTests,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,skipTests,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,skipTests,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,skipTests,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,skipTests,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,manualIde,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,manualIde,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,manualIde,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,manualIde,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,manualIde,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,manualIde,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,manualIde,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,manualIde,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,manualIde,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,length,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,length,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,length,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,length,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,length,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,length,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,length,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,length,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,length,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,commitGap,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,commitGap,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,commitGap,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,commitGap,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,commitGap,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,commitGap,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,commitGap,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,commitGap,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,process,commitGap,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,cognitive,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,cognitive,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,cognitive,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,cognitive,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,cognitive,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,cognitive,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,cognitive,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,cognitive,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,cognitive,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,coupling,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,coupling,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,coupling,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,coupling,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,coupling,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,coupling,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,coupling,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,coupling,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,coupling,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,duplication,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,duplication,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,duplication,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,duplication,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,duplication,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,duplication,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,duplication,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,duplication,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,duplication,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,readability,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,readability,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,readability,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,readability,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,readability,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,readability,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,readability,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,readability,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,readability,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,smells,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,smells,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,smells,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,smells,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,smells,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,smells,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,smells,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,smells,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,smells,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,cohesion,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,cohesion,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,cohesion,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,cohesion,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,cohesion,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,cohesion,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,cohesion,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,cohesion,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
will-06,cleanliness,cohesion,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,0,0
yukie-01,process,gain,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,gain,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,gain,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,gain,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,gain,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,gain,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,gain,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,gain,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,gain,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,broken,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,broken,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,broken,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,broken,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,broken,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,broken,1.500000,0.600000,1.000000,0.666667,1.000000,1.000000,5,5,0,0
yukie-01,process,broken,2.000000,0.600000,1.000000,0.666667,1.000000,1.000000,5,5,0,2
yukie-01,process,broken,4.000000,0.800000,1.000000,1.000000,1.000000,1.000000,5,5,0,5
yukie-01,process,broken,10.000000,0.800000,1.000000,1.000000,1.000000,1.000000,5,5,0,5
yukie-01,process,skipTests,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,skipTests,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,skipTests,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,skipTests,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,skipTests,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,skipTests,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,skipTests,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,skipTests,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,5
yukie-01,process,skipTests,10.000000,0.800000,1.000000,1.000000,1.000000,1.000000,5,5,0,5
yukie-01,process,manualIde,0.100000,0.600000,1.000000,0.666667,1.000000,1.000000,5,5,0,0
yukie-01,process,manualIde,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,manualIde,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,manualIde,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,manualIde,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,manualIde,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,manualIde,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,manualIde,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,5
yukie-01,process,manualIde,10.000000,0.800000,1.000000,1.000000,1.000000,1.000000,5,5,0,5
yukie-01,process,length,0.100000,0.600000,1.000000,0.666667,1.000000,1.000000,5,5,0,0
yukie-01,process,length,0.250000,0.600000,1.000000,0.666667,1.000000,1.000000,5,5,0,0
yukie-01,process,length,0.500000,0.600000,1.000000,0.666667,1.000000,1.000000,5,5,0,0
yukie-01,process,length,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,length,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,length,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,length,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,length,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,length,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,1
yukie-01,process,commitGap,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,commitGap,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,commitGap,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,commitGap,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,commitGap,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,commitGap,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,commitGap,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,commitGap,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,process,commitGap,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,cognitive,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,cognitive,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,cognitive,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,cognitive,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,cognitive,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,cognitive,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,cognitive,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,cognitive,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,cognitive,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,coupling,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,coupling,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,coupling,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,coupling,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,coupling,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,coupling,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,coupling,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,coupling,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,coupling,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,duplication,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,duplication,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,duplication,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,duplication,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,duplication,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,duplication,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,duplication,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,duplication,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,duplication,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,readability,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,readability,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,readability,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,readability,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,readability,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,readability,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,readability,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,readability,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,readability,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,smells,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,smells,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,smells,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,smells,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,smells,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,smells,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,smells,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,smells,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,smells,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,cohesion,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,cohesion,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,cohesion,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,cohesion,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,cohesion,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,cohesion,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,cohesion,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,cohesion,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-01,cleanliness,cohesion,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5,5,0,0
yukie-02,process,gain,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,gain,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,gain,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,gain,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,gain,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,gain,1.500000,0.600000,0.000000,0.666667,1.000000,1.000000,6,6,0,1
yukie-02,process,gain,2.000000,-0.333333,0.000000,0.333333,0.800000,1.000000,6,6,0,4
yukie-02,process,gain,4.000000,-0.333333,0.000000,0.333333,0.800000,1.000000,6,6,0,4
yukie-02,process,gain,10.000000,-0.333333,0.000000,0.333333,0.800000,1.000000,6,6,0,5
yukie-02,process,broken,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,broken,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,broken,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,broken,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,broken,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,broken,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,broken,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,broken,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,broken,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,skipTests,0.100000,0.600000,0.000000,0.666667,1.000000,1.000000,6,6,0,0
yukie-02,process,skipTests,0.250000,0.600000,0.000000,0.666667,1.000000,1.000000,6,6,0,0
yukie-02,process,skipTests,0.500000,0.600000,0.000000,0.666667,1.000000,1.000000,6,6,0,0
yukie-02,process,skipTests,0.750000,0.600000,0.000000,0.666667,1.000000,1.000000,6,6,0,0
yukie-02,process,skipTests,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,skipTests,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,skipTests,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,skipTests,4.000000,0.200000,1.000000,0.333333,0.800000,1.000000,6,6,0,0
yukie-02,process,skipTests,10.000000,0.200000,1.000000,0.333333,0.800000,1.000000,6,6,0,6
yukie-02,process,manualIde,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,manualIde,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,manualIde,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,manualIde,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,manualIde,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,manualIde,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,manualIde,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,manualIde,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,manualIde,10.000000,0.333333,1.000000,0.666667,0.800000,1.000000,6,6,0,1
yukie-02,process,length,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,length,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,length,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,length,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,length,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,length,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,length,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,length,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,length,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,commitGap,0.100000,0.200000,1.000000,0.333333,0.800000,1.000000,6,6,0,0
yukie-02,process,commitGap,0.250000,0.200000,1.000000,0.333333,0.800000,1.000000,6,6,0,0
yukie-02,process,commitGap,0.500000,0.333333,1.000000,0.666667,0.800000,1.000000,6,6,0,0
yukie-02,process,commitGap,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,process,commitGap,1.250000,0.600000,0.000000,0.666667,1.000000,1.000000,6,6,0,0
yukie-02,process,commitGap,1.500000,0.600000,0.000000,0.666667,1.000000,1.000000,6,6,0,0
yukie-02,process,commitGap,2.000000,0.600000,0.000000,0.666667,1.000000,1.000000,6,6,0,0
yukie-02,process,commitGap,4.000000,0.600000,0.000000,0.666667,1.000000,1.000000,6,6,0,1
yukie-02,process,commitGap,10.000000,-0.333333,0.000000,0.333333,0.800000,1.000000,6,6,0,5
yukie-02,cleanliness,cognitive,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,cleanliness,cognitive,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,cleanliness,cognitive,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,cleanliness,cognitive,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,cleanliness,cognitive,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,cleanliness,cognitive,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,cleanliness,cognitive,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,cleanliness,cognitive,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,cleanliness,cognitive,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,cleanliness,coupling,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,cleanliness,coupling,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,cleanliness,coupling,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
yukie-02,cleanliness,coupling,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,6,6,0,0
